OTU	C10F-V3-V4	C11F-V3-V4	C13F-V3-V4	C14F-V3-V4	C15F-V3-V4	C16F-V3-V4	C17F-V3-V4	C1F-V3-V4	C2F-V3-V4	C3F-V3-V4	C4F-V3-V4	C5F-V3-V4	C6F-V3-V4	C7F-V3-V4	C8F-V3-V4	C9F-V3-V4	M10F-V3-V4	M11F-V3-V4	M12F-V3-V4	M13F-V3-V4	M14F-V3-V4	M15F-V3-V4	M16F-V3-V4	M17F-V3-V4	M18F-V3-V4	M19F-V3-V4	M1F-V3-V4	M20F-V3-V4	M2F-V3-V4	M3F-V3-V4	M4F-V3-V4	M5F-V3-V4	M6F-V3-V4	M7F-V3-V4	M8F-V3-V4	M9F-V3-V4	ML1F-V3-V4	ML2F-V3-V4	ML3F-V3-V4
DENOVO1	5628	0	6813	342	681	2561	5	6873	111	505	4035	2347	16	12337	3221	8913	0	2814	8481	6062	1023	14458	65	13537	4614	6553	100	4132	1354	763	5817	910	1	1681	485	4520	81	7581	3634
DENOVO2	247	2	256	1166	1988	3875	0	4079	5	2381	1982	4935	16923	2067	5518	38	172	129	6361	11	5610	2	3	646	609	9238	0	7	27	480	703	219	1	562	1	0	806	135	3852
DENOVO3	617	2334	1034	1	324	4203	2	3833	1901	1870	3927	3922	1502	1453	4540	849	146	9	18219	34	801	5	16	333	1517	14	3	9130	1	288	4520	2413	0	778	3	2	146	0	668
DENOVO4	2077	14	847	454	367	852	1	5162	606	2098	3	3939	5	1799	1459	1374	1702	11676	3471	15	638	328	1508	2868	1276	531	72	9	401	713	2342	1494	3	1	2755	1128	1280	4073	3305
DENOVO5	6	44	137	149	224	7248	0	314	10422	12	535	7	26	1200	22	0	65	6154	7	2	259	10412	4861	1367	6	957	1787	7	2311	47	1204	112	2	12811	1926	2	1798	1063	30
DENOVO6	470	580	358	294	311	174	0	350	937	513	4747	2985	2	1431	1377	1663	44	3975	3466	3418	47	295	6242	2183	3666	1257	470	2762	573	19	106	614	1	8676	688	211	53	1420	849
DENOVO7	2403	1086	174	1457	536	11822	0	1015	28	102	5918	31	2155	697	392	278	0	3354	42	455	1066	171	2164	76	41	30	23	4611	2134	34	1152	1056	2	5047	117	8065	8	2	1874
DENOVO8	78	1755	199	295	178	989	0	682	988	402	0	109	0	2552	942	493	336	487	2186	6858	2877	4842	584	941	4051	49	1513	2516	1326	0	185	442	0	109	509	1801	52	338	631
DENOVO9	777	4	189	220	1251	498	1	967	98	4046	0	886	1	1821	552	536	740	3048	5209	14	853	490	876	2032	2620	2134	28	0	3	722	5482	356	0	5	1173	2834	1088	4432	845
DENOVO10	4	534	155	897	111	22	2	425	6939	3	3032	3117	9	873	1265	892	92	2761	9166	3	287	2235	571	2650	2903	4370	2886	4708	291	26	70	39	0	158	140	11	1946	419	3729
DENOVO11	1068	3	1264	382	387	3	2	93	4659	181	5713	10838	14	9	1626	2149	207	5393	53	4349	0	2	8	380	2713	10	0	10670	1	712	0	1	1	467	0	2	141	0	896
DENOVO12	2596	17	46	23	248	1	2	11448	255	0	3	7081	0	189	4289	865	16	1659	470	8781	60	5424	1235	149	335	1	1634	2505	374	0	591	115	0	1056	363	0	1	2008	547
