OTU	C10F-ITS	C11F-ITS	C13F-ITS	C14F-ITS	C15F-ITS	C16F-ITS	C1F-ITS	C2F-ITS	C3F-ITS	C4F-ITS	C5F-ITS	C6F-ITS	C7F-ITS	C8F-ITS	C9F-ITS	M10F-ITS	M11F-ITS	M12F-ITS	M13F-ITS	M14F-ITS	M15F-ITS	M16F-ITS	M17F-ITS	M18F-ITS	M19F-ITS	M1F-ITS	M20F-ITS	M2F-ITS	M3F-ITS	M4F-ITS	M5F-ITS	M6F-ITS	M7F-ITS	M8F-ITS	M9F-ITS	ML1F-ITS	ML2F-ITS	ML3F-ITS
DENOVO1	2734	53080	1132	4	9452	1	1	3477	152	0	2	13848	9285	8	4653	46952	4	10354	0	3	0	0	1	1	47698	13673	2	11675	6	14794	28230	4	0	32676	2	0	1	2914
DENOVO2	32147	0	2802	6514	5	0	1	15349	4	5877	1	0	1521	0	1990	0	0	6444	162	4104	5651	7122	5684	1	0	35	1	314	357	324	2984	2450	237	3923	861	30990	18049	4496
DENOVO3	1	1	0	0	0	31135	0	0	250	14868	10997	30341	0	0	0	0	16224	0	3	2013	0	0	0	523	0	0	0	699	0	3676	0	372	0	161	2660	2	1	3334
DENOVO4	1	4	0	0	0	80492	0	0	2	0	0	0	0	0	0	0	3	1	1	32217	7580	4	1	1	0	0	4038	0	0	0	32181	4812	8864	0	4052	3393	0	2
DENOVO5	32012	1	2428	11854	15727	0	2	5537	0	4850	0	0	1847	0	6048	0	0	1411	39	2270	1927	3208	4	0	1319	28	0	6978	65	595	1605	5902	0	6719	1144	19214	18163	725
DENOVO6	0	7169	0	5335	0	33904	1	0	0	0	0	0	0	1	6083	0	1	0	0	3095	0	0	0	0	1	72281	0	13481	2	2	1	2	1	14580	0	0	0	1
DENOVO7	0	2	1930	2	7688	0	1	0	339	20329	14865	2	1	0	53	0	1668	9722	1	0	1	5349	5816	2	1916	0	1	0	0	0	0	0	0	0	0	574	1	0
DENOVO8	0	0	82612	2	1	0	0	0	0	0	4	0	0	1	3	0	0	0	0	0	0	9	0	1786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO10	1	15	0	0	4	0	0	0	0	0	0	7	5	0	1	11	0	7	0	0	0	0	0	0	12	5	0	3	0	4	2	0	0	10	0	0	0	0
DENOVO11	0	0	0	0	0	1	1	1	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	72515
