OTU	Kingdom	Phylum	Class	Order	Family	Genus
DENOVO1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
DENOVO2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
DENOVO5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
DENOVO7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
DENOVO9	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
DENOVO10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO12	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
DENOVO13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
DENOVO14	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
DENOVO15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO16	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
DENOVO17	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
DENOVO18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
DENOVO19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO20	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
DENOVO21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
DENOVO22	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Asteroleplasma
DENOVO23	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
DENOVO24	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger
DENOVO25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis
DENOVO26	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis
DENOVO27	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
DENOVO29	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis
DENOVO30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO31	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO33	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
DENOVO34	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium XVIII
DENOVO35	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis
DENOVO36	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
DENOVO37	Bacteria	Firmicutes	NA	NA	NA	NA
DENOVO38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
DENOVO39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
DENOVO41	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
DENOVO42	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium XlVa
DENOVO43	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO44	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
DENOVO45	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
DENOVO46	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
DENOVO47	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
DENOVO48	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA
DENOVO49	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
