OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
DENOVO1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Debaryomyces	Debaryomyces_prosopidis|SH213690.06FU
DENOVO2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae|SH241331.06FU
DENOVO3	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_restricta|SH206219.06FU
DENOVO4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_unidentified	Saccharomycetales_unidentified_1	Saccharomycetales_sp|SH196646.06FU
DENOVO5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae|SH241331.06FU
DENOVO6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_psychrosexualis|SH231336.06FU
DENOVO7	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
DENOVO8	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Cyberlindnera	Cyberlindnera_jadinii|SH230260.06FU
DENOVO10	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Debaryomyces	Debaryomyces_prosopidis|SH213690.06FU
DENOVO11	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Corticiaceae_unidentified	Corticiaceae_sp|SH218711.06FU
DENOVO12	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_sp_DMic_94750|SH195351.06FU
DENOVO13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_chrysogenum|SH214177.06FU
DENOVO14	Fungi	Basidiomycota	Tremellomycetes	Tremellomycetes_unidentified	Tremellomycetes_unidentified_1	Tremellomycetes_unidentified_1	Tremellomycetes_sp|SH219359.06FU
DENOVO15	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_restricta|SH206219.06FU
DENOVO16	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Malasseziales_unidentified	Malasseziales_unidentified_1	Malasseziales_sp|SH206221.06FU
DENOVO17	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_exigua|SH227777.06FU
DENOVO18	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Malasseziales_unidentified	Malasseziales_unidentified_1	Malasseziales_sp|SH219325.06FU
DENOVO19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis_3	Ilyonectria	Ilyonectria_macrodidyma|SH217302.06FU
DENOVO20	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Cyberlindnera	Cyberlindnera_jadinii|SH230260.06FU
DENOVO21	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_globosa|SH190404.06FU
DENOVO22	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp|SH218046.06FU
DENOVO23	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
DENOVO24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
DENOVO25	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
DENOVO26	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_unidentified	Saccharomycetales_unidentified_1	Saccharomycetales_sp|SH196646.06FU
DENOVO27	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella_tassiana|SH196750.06FU
DENOVO28	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Gymnopus	Gymnopus_dryophilus|SH238285.06FU
DENOVO29	Fungi	Ascomycota	Ascomycota_unidentified	Ascomycota_unidentified_1	Ascomycota_unidentified_1	Ascomycota_unidentified_1_1	Ascomycota_sp|SH238586.06FU
DENOVO30	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_citreonigrum|SH193628.06FU
DENOVO31	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp|SH217983.06FU
DENOVO32	Fungi	Ascomycota	NA	NA	NA	NA	NA
DENOVO33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_unidentified	Helotiales_unidentified_1	Helotiales_sp|SH209194.06FU
DENOVO34	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_dermatis|SH218103.06FU
DENOVO35	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis_3	Ilyonectria	Ilyonectria_robusta|SH201349.06FU
DENOVO36	Fungi	Ascomycota	NA	NA	NA	NA	NA
DENOVO38	Fungi	Ascomycota	NA	NA	NA	NA	NA
DENOVO39	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_floriforme|SH216500.06FU
DENOVO40	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Cryptococcus	Cryptococcus_fuscescens|SH215218.06FU
DENOVO41	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylariaceae_unidentified	Xylariaceae_sp|SH238032.06FU
DENOVO42	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_unidentified	Sordariomycetes_unidentified_1	Sordariomycetes_unidentified_1	Sordariomycetes_sp|SH219629.06FU
DENOVO43	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_unidentified	Sordariomycetes_unidentified_1	Sordariomycetes_unidentified_1	Sordariomycetes_sp|SH201443.06FU
DENOVO44	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_bisporus|SH237695.06FU
DENOVO45	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	NA
DENOVO46	Fungi	Ascomycota	NA	NA	NA	NA	NA
DENOVO48	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
DENOVO50	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Incertae_sedis_12	Cryptococcus_1	Cryptococcus_victoriae|SH198055.06FU
DENOVO51	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	NA
DENOVO52	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella_sp|SH190508.06FU
DENOVO53	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	NA	NA	NA
DENOVO54	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp|SH228359.06FU
DENOVO55	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_unidentified	Helotiales_unidentified_1	NA
DENOVO56	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_cibarius|SH236881.06FU
DENOVO58	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_thailandica|SH237946.06FU
DENOVO59	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp|SH217982.06FU
DENOVO60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	Cylindrocarpon_sp|SH232149.06FU
DENOVO61	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae|SH241331.06FU
DENOVO62	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	NA	NA
DENOVO63	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	NA	NA	NA
DENOVO64	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Candida	Candida_glabrata|SH235343.06FU
DENOVO65	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus_luridus|SH239843.06FU
DENOVO67	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
DENOVO68	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Togniniaceae	Phaeoacremonium	Phaeoacremonium_tuscanum|SH191574.06FU
DENOVO69	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
DENOVO70	Fungi	Zygomycota	Incertae_sedis_10	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp|SH218046.06FU
DENOVO71	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus_luridus|SH239843.06FU
DENOVO72	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Candida	Candida_boleticola|SH209130.06FU
DENOVO73	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_cibarius|SH236881.06FU
DENOVO74	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
DENOVO75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora|SH196230.06FU
DENOVO76	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	NA	NA	NA
DENOVO77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae_unidentified	Nectriaceae_sp|SH233679.06FU
DENOVO78	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Candida	Candida_tropicalis|SH195489.06FU
DENOVO79	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_sp|SH206220.06FU
DENOVO80	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_unidentified	Cantharellales_unidentified_1	Cantharellales_sp|SH224071.06FU
DENOVO82	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Candida	Candida_glabrata|SH235343.06FU
DENOVO84	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis_11	Candida	Candida_palmioleophila|SH213692.06FU
DENOVO85	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_infirmominiatum|SH212071.06FU
DENOVO86	Fungi	Basidiomycota	Incertae_sedis_4	Malasseziales	Incertae_sedis_5	Malassezia	Malassezia_slooffiae|SH234815.06FU
